;Name;Genre;City;Status
0;Apokalyptic Raids;Black/Death/Thrash Metal;Rio de Janeiro, Rio de Janeiro;Active
1;Apokalyptisk Framtid;Black Metal/Punk/Noise;Catanduva, Sâo Paulo;Active
2;Apokatastase;Thrash/Death Metal;São Paulo, São Paulo;Active
3;Apokrisis;Thrash/Death Metal;São Paulo, São Paulo, Brazil;Active
4;Apoleon;Thrash Metal;São Paulo, São Paulo;Split-up
5;Apoliom;Thrash Metal;Itabira, Minas Gerais;Split-up
6;Apollyon;Heavy Metal;Formosa, Goiás;Split-up
7;Apollyon;Symphonic/Melodic Death Metal;Curitiba, Paraná;Split-up
8;Apophanous;Progressive Thrash Metal;São Paulo, São Paulo;Active
9;Apophizys;Death Metal;Passo Fundo, Rio Grande do Sul;Split-up
10;Aporya;Melodic Doom/Death Metal;Campina Grande/João Pessoa, Paraíba;Active
11;Apostasia;Death Metal;Farroupilha, Rio Grande do Sul;Split-up
12;Apóstasis;Melodic Black/Death Metal;Brasília, Distrito Federal;Active
13;Apoteom;Groove Metal;Santa Maria, Rio Grande do Sul;Active
14;Apotheke der Seele;Black/Post-Metal;Fazenda Rio Grande, Paraná;Active
15;Apple Sin;Heavy Metal;Barroso, Minas Gerais;Active
16;Apshait;Progressive Heavy Metal;Barbacena, Minas Gerais;Split-up
17;Apus;Black/Death Metal;Salvador, Bahia;Active
18;Aquaria;Symphonic Power Metal;Rio de Janeiro, Rio de Janeiro;Active
19;Aquelarre;Black Metal;São Paulo, São Paulo;Split-up
20;Aqueronte;Black Metal;Curitiba, Paraná;Active
21;Aqueronte DM;Atmospheric Death/Doom Metal;Salvador, Bahia;Active
22;Aquila;Progressive Metal;São Paulo, São Paulo;Changed name
23;Aquiles Priester | Gustavo Carmo;Progressive Metal;;Active
24;Ar da Desgraça;Black Metal;Timbó, Santa Catarina;Active
25;Arab Zaraq;Black Metal;;Split-up
26;Arabesco;Sludge/Doom Metal;São Paulo, São Paulo;Active
27;Aracranios;Black/Death Metal;São Fidélis, Rio de Janeiro;Split-up
28;Arahmok;Raw Black Metal;;Split-up
29;Arandu Arakuaa;Folk Metal;Brasília, Distrito Federal;Active
30;Arani;Pagan Black Metal;Natal, Rio Grande do Norte;Active
31;Arautos do Caos;Thrash/Speed Metal;Osasco, São Paulo;Active
32;Arbach;Black Metal;Anápolis, Goiás;Active
33;Arbovirus;Brutal Death Metal/Grindcore;Itaí, São Paulo;Active
34;Arcana Elysium;Symphonic Metal;Petrópolis, Rio de Janeiro;Active
35;Arcana Mea;Death/Thrash Metal;Cachoeira do Sul, Rio Grande do Sul;Active
36;Arcandria;Heavy/Power Metal;Abreu e Lima, Pernambuco;Split-up
37;Arcane Aeon;Death Metal;Americana, São Paulo;Split-up
38;Arcania;Epic/Atmospheric Black Metal;Poços de Caldas, Minas Gerais / Aparecida de Goiânia, Goiás;Active
39;Arcanjo;Thrash Metal;Brasília, Distrito Federal;Active
40;Arcano Arconte;Black Metal;Sete Lagoas, Minas Gerais;Active
41;Arcantis;Symphonic Power Metal;Salvador, Bahia;Active
42;Arcanu Anima;Doom Metal;Guarulhos, São Paulo;Split-up
